type;name;data;unit
ValueBox;01SHUTTER;1,4800000000000002;us
ValueBox;02SHUTTER;126,5;us
ValueBox;Measrate;0,0001;kHz

MeasSignale
Zeitstempel [ms];01DIST1 [mm];02DIST1 [mm];01DIST1_PEAK [mm];02DIST1_PEAK [mm];01INTENSITY1 [%];02INTENSITY1 [%]
2,9600;6,70640;2147483396,00000;0,05925;2147483396,00000;0,397;0,000
2,9700;6,70672;2147483396,00000;0,05912;2147483396,00000;0,396;0,000
2,9800;6,70711;2147483396,00000;0,05908;2147483396,00000;0,396;0,000
2,9900;6,70753;2147483396,00000;0,05893;2147483396,00000;0,395;0,000
3,0000;6,70796;2147483396,00000;0,05878;2147483396,00000;0,396;0,000
3,0100;6,70845;2147483396,00000;0,05869;2147483396,00000;0,397;0,000
3,0200;6,70889;2147483396,00000;0,05862;2147483396,00000;0,397;0,000
3,0300;6,70922;2147483396,00000;0,05853;2147483396,00000;0,397;0,000
3,0400;6,70959;2147483396,00000;0,05848;2147483396,00000;0,396;0,000
3,0500;6,70996;2147483396,00000;0,05832;2147483396,00000;0,395;0,000
3,0600;6,71037;2147483396,00000;0,05817;2147483396,00000;0,394;0,000
3,0700;6,71084;2147483396,00000;0,05807;2147483396,00000;0,393;0,000
3,0800;6,71141;2147483396,00000;0,05813;2147483396,00000;0,395;0,000
3,0900;6,71185;2147483396,00000;0,05817;2147483396,00000;0,395;0,000
3,1000;6,71229;2147483396,00000;0,05822;2147483396,00000;0,396;0,000
3,1100;6,71272;2147483396,00000;0,05813;2147483396,00000;0,396;0,000
3,1200;6,71316;2147483396,00000;0,05805;2147483396,00000;0,395;0,000
3,1300;6,71359;2147483396,00000;0,05797;2147483396,00000;0,391;0,000
3,1400;6,71407;2147483396,00000;0,05793;2147483396,00000;0,389;0,000
3,1500;6,71453;2147483396,00000;0,05801;2147483396,00000;0,395;0,000
3,1600;6,71499;2147483396,00000;0,05808;2147483396,00000;0,397;0,000
3,1700;6,71541;2147483396,00000;0,05800;2147483396,00000;0,393;0,000
3,1800;6,71579;2147483396,00000;0,05790;2147483396,00000;0,389;0,000
3,1900;6,71619;2147483396,00000;0,05781;2147483396,00000;0,386;0,000
3,2000;6,71674;2147483396,00000;0,05787;2147483396,00000;0,385;0,000
3,2100;6,71728;2147483396,00000;0,05804;2147483396,00000;0,391;0,000
3,2200;6,71779;2147483396,00000;0,05821;2147483396,00000;0,392;0,000
3,2300;6,71814;2147483396,00000;0,05809;2147483396,00000;0,390;0,000
3,2400;6,71839;2147483396,00000;0,05783;2147483396,00000;0,387;0,000
3,2500;6,71863;2147483396,00000;0,05756;2147483396,00000;0,391;0,000
3,2600;6,71913;2147483396,00000;0,05755;2147483396,00000;0,392;0,000
3,2700;6,71964;2147483396,00000;0,05767;2147483396,00000;0,385;0,000
3,2800;6,72014;2147483396,00000;0,05782;2147483396,00000;0,387;0,000
3,2900;6,72056;2147483396,00000;0,05780;2147483396,00000;0,386;0,000
3,3000;6,72087;2147483396,00000;0,05755;2147483396,00000;0,388;0,000
3,3100;6,72117;2147483396,00000;0,05729;2147483396,00000;0,392;0,000
3,3200;6,72160;2147483396,00000;0,05717;2147483396,00000;0,393;0,000
3,3300;6,72210;2147483396,00000;0,05722;2147483396,00000;0,391;0,000
3,3400;6,72260;2147483396,00000;0,05730;2147483396,00000;0,387;0,000
3,3500;6,72309;2147483396,00000;0,05734;2147483396,00000;0,386;0,000
3,3600;6,72341;2147483396,00000;0,05705;2147483396,00000;0,392;0,000
3,3700;6,72372;2147483396,00000;0,05676;2147483396,00000;0,395;0,000
3,3800;6,72406;2147483396,00000;0,05649;2147483396,00000;0,394;0,000
3,3900;6,72464;2147483396,00000;0,05662;2147483396,00000;0,396;0,000
